,ligand,receptor,pathway,ligand_annotation,TF
INHBC|COMPLEX:ACVR1B_ACVR2A,INHBC,COMPLEX:ACVR1B_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBC|COMPLEX:ACVR1B_ACVR2B,INHBC,COMPLEX:ACVR1B_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBC|COMPLEX:ACVR1C_ACVR2A,INHBC,COMPLEX:ACVR1C_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBC|COMPLEX:ACVR1C_ACVR2B,INHBC,COMPLEX:ACVR1C_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBE|COMPLEX:ACVR1B_ACVR2A,INHBE,COMPLEX:ACVR1B_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBE|COMPLEX:ACVR1B_ACVR2B,INHBE,COMPLEX:ACVR1B_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBE|COMPLEX:ACVR1C_ACVR2A,INHBE,COMPLEX:ACVR1C_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBE|COMPLEX:ACVR1C_ACVR2B,INHBE,COMPLEX:ACVR1C_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
COMPLEX:INHBA_INHBB|COMPLEX:ACVR1B_ACVR2A,COMPLEX:INHBA_INHBB,COMPLEX:ACVR1B_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
COMPLEX:INHBA_INHBB|COMPLEX:ACVR1B_ACVR2B,COMPLEX:INHBA_INHBB,COMPLEX:ACVR1B_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
COMPLEX:INHBA_INHBB|COMPLEX:ACVR1C_ACVR2A,COMPLEX:INHBA_INHBB,COMPLEX:ACVR1C_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
COMPLEX:INHBA_INHBB|COMPLEX:ACVR1C_ACVR2B,COMPLEX:INHBA_INHBB,COMPLEX:ACVR1C_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
COMPLEX:INHA_INHBA|ACVR2A,COMPLEX:INHA_INHBA,ACVR2A,ACTIVIN,Secreted,"SMAD3, JUNB, NFKB1, E2F4, TFDP1, RELA, SMAD1, SMAD4, NANOG, E2F5, SMAD5, SMAD2"
COMPLEX:INHA_INHBA|ACVR2B,COMPLEX:INHA_INHBA,ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
ACVRL1|ENG,ACVRL1,ENG,ACVRL1,unSecreted,
ACVRL1|TGFBR1,ACVRL1,TGFBR1,ACVRL1,unSecreted,"RORC, TCF7L2, TCF7L1, DDIT3, STAT3, ELK1, E2F5, SMAD2, E2F2, DAXX, ELK4, MYBL2, E2F4, TERF1, FOXM1, NANOG, MEF2C, JUNB, TP53, RBL1, ATF4, E2F3, TCF7, IRF5, SMAD3, RB1, RBL2, RORA, TERF2, E2F1, ATF2, TFDP1, SMAD1, FOXP3, SMAD4, RUNX2, MAX, LEF1"
ADAM10|TSPAN15,ADAM10,TSPAN15,ADAM10,unSecreted,
ADAM10|CD44,ADAM10,CD44,ADAM10,unSecreted,"NFATC1, NFKB1, RELA, FOS, NFATC3, NFATC2, JUN"
ADAM10|EPHA3,ADAM10,EPHA3,ADAM10,unSecreted,"RXRA, AR, ESR1, STAT1, FOS, STAT3, ABL1, RUNX2, GTF2I, STAT5A, STAT5B, PPARG"
ADAM10|AXL,ADAM10,AXL,ADAM10,unSecreted,"STAT6, SP1, FOXO3, STAT2, STAT1, STAT4, STAT3, FOS, IRF9, STAT5A, STAT5B, JUN"
ADAM10|NOTCH1,ADAM10,NOTCH1,ADAM10,unSecreted,"PAX8, SOX2, JUN, AR, RELA, RBPJL, NANOG, HIF1A, ATOH1, MEF2C, HEY2, TP53, GBX2, HEY1, SNW1, MITF, RBPJ, HES1, NFKB2, DLX5, IRF7, MYC, PAX2, MYOD1, HES5, SMAD1, SOX9, LEF1, HEYL, RUNX2, GATA3, SMAD4, WT1, PAX7, PBX1"
ADAM10|TSPAN5,ADAM10,TSPAN5,ADAM10,unSecreted,
ADAM10|NOTCH2,ADAM10,NOTCH2,ADAM10,unSecreted,"MYC, HEY2, HEY1, SNW1, HES5, RBPJ, HES1, HEYL, RBPJL, GATA3, PAX7, PBX1, NFKB2"
ADAM10|TSPAN14,ADAM10,TSPAN14,ADAM10,unSecreted,
ADAM10|TSPAN17,ADAM10,TSPAN17,ADAM10,unSecreted,
ADAM10|TSPAN10,ADAM10,TSPAN10,ADAM10,unSecreted,
ADAM10|NOTCH3,ADAM10,NOTCH3,ADAM10,unSecreted,"RELA, FOS, RBPJL, NANOG, STAT5A, HIF1A, HEY2, NFKB1, HEY1, SNW1, RBPJ, HES1, NFKB2, STAT5B, MYC, HES5, TBX21, PBX1, HEYL"
ADAM12|ITGB1,ADAM12,ITGB1,ADAM12,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
ADAM12|SDC4,ADAM12,SDC4,ADAM12,unSecreted,"PAX8, CREB5, CREB3L1, ATF6B, STAT3, CREB3L4, ELK1, JUN, AR, ESR1, FOS, NFATC3, ATF4, CREB3L2, SMAD3, NFATC1, ATF2, CREB3, NFATC2, CREB1"
ADAM12|ITGA9,ADAM12,ITGA9,ADAM12,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM23|ITGB3,ADAM23,ITGB3,ADAM12,unSecreted,"NFKB1, RXRA, AR, ESR1, STAT1, FOS, STAT3, RELA, GTF2I, STAT5A, STAT5B, PPARG"
ADAM23|ITGA5,ADAM23,ITGA5,ADAM12,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM15|ITGB3,ADAM15,ITGB3,ADAM15,unSecreted,"NFKB1, RXRA, AR, ESR1, STAT1, FOS, STAT3, RELA, GTF2I, STAT5A, STAT5B, PPARG"
ADAM15|ITGB1,ADAM15,ITGB1,ADAM15,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
ADAM15|ITGAV,ADAM15,ITGAV,ADAM15,unSecreted,"NFKB1, RUNX3, AR, ESR1, RELA, FOS, HIF1A"
ADAM15|ITGA5,ADAM15,ITGA5,ADAM15,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM15|ITGA9,ADAM15,ITGA9,ADAM15,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM17|TGFA,ADAM17,TGFA,ADAM17,unSecreted,"NFKB1, PGR, RUNX3, E2F1, ESR1, STAT1, RELA, STAT3, FOS, STAT5A, MXD4, HIF1A, STAT5B"
ADAM17|ITGB1,ADAM17,ITGB1,ADAM17,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
ADAM17|ITGA5,ADAM17,ITGA5,ADAM17,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM17|IL6R,ADAM17,IL6R,ADAM17,unSecreted,"NR4A1, FOXO3, CREB5, ESR2, CEBPB, CREB3L1, ATF6B, STAT3, ERF, ETS2, CREB3L4, ELK1, JUN, HSF1, SP1, STAT2, ESR1, STAT1, RELA, FOS, DBP, STAT5A, HIF1A, ATOH1, ETS1, TP53, NFKB1, MITF, NFATC3, ATF4, IRF9, STAT5B, CREB3L2, EGR1, MYC, SMAD3, STAT6, NFATC1, ATF2, CREB3, STAT4, RUNX2, GTF2I, NFATC2, CREB1, THRB"
ADAM17|NOTCH1,ADAM17,NOTCH1,ADAM17,unSecreted,"PAX8, SOX2, JUN, AR, RELA, RBPJL, NANOG, HIF1A, ATOH1, MEF2C, HEY2, TP53, GBX2, HEY1, SNW1, MITF, RBPJ, HES1, NFKB2, DLX5, IRF7, MYC, PAX2, MYOD1, HES5, SMAD1, SOX9, LEF1, HEYL, RUNX2, GATA3, SMAD4, WT1, PAX7, PBX1"
ADAM17|ERBB4,ADAM17,ERBB4,ADAM17,unSecreted,"NR4A1, TFAP4, FOXO3, PGR, BRCA1, CREB5, ESR2, THRA, CREB3L1, ATF6B, CREB3L4, MXD4, RUNX3, RXRA, AR, ESR1, RELA, STAT5A, HIF1A, CREB3L3, XBP1, TP53, NFKB1, ATF4, CTNNB1, RARA, STAT5B, CREB3L2, PPARG, MYC, RBL2, ATF2, CREB3, IKBKB, MYB, GATA3, CREB1, MDM2"
ADAM17|HBEGF,ADAM17,HBEGF,ADAM17,unSecreted,"PGR, RUNX3, RORA, E2F1, ESR1, STAT1, FOS, STAT3, STAT5A, MXD4, HIF1A, STAT5B"
ADAM2|ITGB1,ADAM2,ITGB1,ADAM2,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
ADAM2|CD9,ADAM2,CD9,ADAM2,unSecreted,
ADAM2|ITGA6,ADAM2,ITGA6,ADAM2,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM2|ITGB7,ADAM2,ITGB7,ADAM2,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
ADAM2|ITGA9,ADAM2,ITGA9,ADAM2,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM28|ITGA4,ADAM28,ITGA4,ADAM28,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM9|ITGB1,ADAM9,ITGB1,ADAM9,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
ADAM9|ITGAV,ADAM9,ITGAV,ADAM9,unSecreted,"NFKB1, RUNX3, AR, ESR1, RELA, FOS, HIF1A"
ADAM9|ITGB5,ADAM9,ITGB5,ADAM9,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
ADAM9|ITGA6,ADAM9,ITGA6,ADAM9,unSecreted,"STAT3, FOS, SP1, JUN"
ADAM9|ITGA3,ADAM9,ITGA3,ADAM9,,"STAT3, FOS, SP1, JUN"
ADGRE5|CD55,ADGRE5,CD55,ADGRE5,unSecreted,"RUNX2, STAT5B, STAT5A"
ADGRV1|USH2A,ADGRV1,USH2A,ADGRV1,unSecreted,
ADIPOQ|ADIPOR2,ADIPOQ,ADIPOR2,ADIPONECTIN,Secreted,"TP53, NFKB1, FOXO3, FOXO4, PPARGC1A, MLXIPL, RELA, FOXO6, PPARA, GRHL1, SIRT1, FOXO1, PPARG"
ADIPOQ|ADIPOR1,ADIPOQ,ADIPOR1,ADIPONECTIN,Secreted,"TP53, NFKB1, FOXO3, FOXO4, PPARGC1A, MLXIPL, RELA, FOXO6, PPARA, GRHL1, SIRT1, FOXO1, PPARG"
ADM|GPR182,ADM,GPR182,ADM,Secreted,
ADM|RAMP1,ADM,RAMP1,ADM,Secreted,
ADM|RAMP2,ADM,RAMP2,ADM,Secreted,
ADM|RAMP3,ADM,RAMP3,ADM,Secreted,
ADM|MRGPRX2,ADM,MRGPRX2,ADM,Secreted,"STAT3, PPARG, SMAD3, RXRA, AR, STAT1, STAT5B, GTF2I, JUN, ESR1, FOS, STAT5A, MYC"
ADM2|RAMP1,ADM2,RAMP1,ADM,Secreted,
ADM2|RAMP2,ADM2,RAMP2,ADM,Secreted,
ADM2|RAMP3,ADM2,RAMP3,ADM,Secreted,
ADORA1|GRM1,ADORA1,GRM1,ADORA1,unSecreted,"STAT3, TP53, PPARG, SMAD3, RXRA, AR, STAT1, STAT5B, GTF2I, JUN, ESR1, FOS, STAT5A, MYC"
ADRA1A|CXCR4,ADRA1A,CXCR4,ADRA,unSecreted,"STAT6, NFKB1, FOXO3, NFKBIB, NFKBIA, STAT2, RELA, STAT1, STAT3, DBP, IKBKB, STAT4, STAT5A, STAT5B"
ADRA1B|CXCR4,ADRA1B,CXCR4,ADRA,unSecreted,"STAT6, NFKB1, FOXO3, NFKBIB, NFKBIA, STAT2, RELA, STAT1, STAT3, DBP, IKBKB, STAT4, STAT5A, STAT5B"
ADRB2|CCKBR,ADRB2,CCKBR,ADRB2,unSecreted,"STAT3, PPARG, SMAD3, RXRA, AR, STAT1, STAT5B, GTF2I, JUN, ESR1, FOS, STAT5A, MYC"
AGRN|MUSK,AGRN,MUSK,AGRN,unSecreted,
AGRN|LRP4,AGRN,LRP4,AGRN,unSecreted,
AGRN|ATP1A3,AGRN,ATP1A3,AGRN,unSecreted,
AGRN|DAG1,AGRN,DAG1,AGRN,unSecreted,"TP53, NKX3-1, ATF2, FOS, STAT3, NR1H4, NFE2L2"
AGRP|SDC3,AGRP,SDC3,AGRP,Secreted,"PAX8, SOX2, HES5, RBPJ, SMAD1, LEF1, HES1, HIF1A, MEF2C"
AGT|MAS1,AGT,MAS1,AGT,Secreted,"STAT3, THRA, DNMT1, HSF1, ETV5, YBX1, TP53, NKX3-1, NFE2L2, RARA, ATF2, FOXA2, CREB1, ETV1, TFAP2A, ATF1, SOX9, POU5F1, NR1H4, NRF1, NFATC4, SP7, SRF, GATA1, ESR1, RELA, FOS, NFKB1, TWIST1, DLX5"
AGT|AGTR1,AGT,AGTR1,AGT,Secreted,"SMAD3, CREB5, ATF2, CREB3L1, ATF6B, ATF4, CREB3L4, FOXP3, CREB1, ZFHX3, CREB3L3, CREB3L2"
AGT|AGTR2,AGT,AGTR2,AGT,Secreted,JUN
AGT|LRP2,AGT,LRP2,AGT,Secreted,GATA3
ALCAM|CD6,ALCAM,CD6,ALCAM,unSecreted,
ALKAL1|ALK,ALKAL1,ALK,ALKAL1,Secreted,"THRA, PRDM1, STAT3, DNMT1, SPI1, RUNX3, STAT2, RELA, STAT1, STAT5A, HIF1A, JUNB, KLF4, TP53, IRF9, STAT5B, EGR1, HOXA10, STAT6, STAT4"
ALKAL2|ALK,ALKAL2,ALK,ALKAL2,Secreted,"THRA, PRDM1, STAT3, DNMT1, SPI1, RUNX3, STAT2, RELA, STAT1, STAT5A, HIF1A, JUNB, KLF4, TP53, IRF9, STAT5B, EGR1, HOXA10, STAT6, STAT4"
AMBN|CD63,AMBN,CD63,AMBN,Secreted,
AMELX|LAMP1,AMELX,LAMP1,AMELX,Secreted,
AMELY|LAMP1,AMELY,LAMP1,AMELY,Secreted,
AMH|COMPLEX:AMHR2_BMPR1A,AMH,COMPLEX:AMHR2_BMPR1A,AMH,Secreted,"NFKB1, ID2, ID3, RELA, SMAD1, SMAD9, SMAD4, ID4, RUNX2, ID1, SMAD5"
AMH|COMPLEX:ACVR1_AMHR2,AMH,COMPLEX:ACVR1_AMHR2,AMH,Secreted,"SMAD3, JUNB, NFKB1, E2F4, TFDP1, RELA, SMAD1, SMAD9, SMAD4, NANOG, E2F5, SMAD5"
AMH|EGFR,AMH,EGFR,AMH,Secreted,"NR4A1, FOXO3, BRCA1, TCF7L2, TP73, THRA, IRF1, ATF6B, STAT3, ERF, DNMT1, FOXO1, HSF1, RUNX3, EP300, TRAF6, ABL1, HIF1A, TP53, RARA, CREB3L2, PPARG, SMAD3, NFKBIB, ATF2, STAT4, HIC1, CREB1, MDM2, IRF3, MED1, ELK1, CREBBP, RXRA, AR, STAT1, DBP, MITF, NFKB2, STAT5B, TCF7, RBL2, RORA, IKBKB, LEF1, FOXO6, NFATC2, ARNT, CREB5, PRDM1, CEBPB, TCF7L1, ETS2, SPI1, NCOA3, SP1, XBP1, JUNB, TFCP2, ATF4, IRF9, CTNNB1, EGR1, STAT6, NFATC1, NFKBIA, RUNX2, GATA3, PGR, ESR2, CREB3L1, CREB3L4, SRF, JUN, FOXO4, STAT2, ESR1, RELA, FOS, STAT5A, CREB3L3, ETS1, KLF4, NFKB1, USF1, NFATC3, MYC, E2F1, CREB3, MYB, THRB"
ANG|PLXNB2,ANG,PLXNB2,ANG,Secreted,
ANG|EGFR,ANG,EGFR,ANG,Secreted,"NR4A1, FOXO3, BRCA1, TCF7L2, TP73, THRA, IRF1, ATF6B, STAT3, ERF, DNMT1, FOXO1, HSF1, RUNX3, EP300, TRAF6, ABL1, HIF1A, TP53, RARA, CREB3L2, PPARG, SMAD3, NFKBIB, ATF2, STAT4, HIC1, CREB1, MDM2, IRF3, MED1, ELK1, CREBBP, RXRA, AR, STAT1, DBP, MITF, NFKB2, STAT5B, TCF7, RBL2, RORA, IKBKB, LEF1, FOXO6, NFATC2, ARNT, CREB5, PRDM1, CEBPB, TCF7L1, ETS2, SPI1, NCOA3, SP1, XBP1, JUNB, TFCP2, ATF4, IRF9, CTNNB1, EGR1, STAT6, NFATC1, NFKBIA, RUNX2, GATA3, PGR, ESR2, CREB3L1, CREB3L4, SRF, JUN, FOXO4, STAT2, ESR1, RELA, FOS, STAT5A, CREB3L3, ETS1, KLF4, NFKB1, USF1, NFATC3, MYC, E2F1, CREB3, MYB, THRB"
ANGPT2|COMPLEX:ITGA5_ITGB1,ANGPT2,COMPLEX:ITGA5_ITGB1,ANGPT,Secreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
ANGPT2|TIE1,ANGPT2,TIE1,ANGPT,Secreted,
ANGPT2|TEK,ANGPT2,TEK,ANGPT,Secreted,"NR4A1, FOXO3, BRCA1, CREB5, CREB3L1, ATF6B, CREB3L4, RUNX3, RXRA, RELA, HIF1A, CREB3L3, TP53, NFKB1, ATF4, CREB3L2, MYC, RBL2, ATF2, CREB3, IKBKB, MYB, CREB1, MDM2"
ANGPT1|TIE1,ANGPT1,TIE1,ANGPT,Secreted,
ANGPT1|TEK,ANGPT1,TEK,ANGPT,Secreted,"NR4A1, FOXO3, BRCA1, CREB5, CREB3L1, ATF6B, CREB3L4, RUNX3, RXRA, RELA, HIF1A, CREB3L3, TP53, NFKB1, ATF4, CREB3L2, MYC, RBL2, ATF2, CREB3, IKBKB, MYB, CREB1, MDM2"
ANGPT4|TIE1,ANGPT4,TIE1,ANGPT,Secreted,
ANGPT4|TEK,ANGPT4,TEK,ANGPT,Secreted,"NR4A1, FOXO3, BRCA1, CREB5, CREB3L1, ATF6B, CREB3L4, RUNX3, RXRA, RELA, HIF1A, CREB3L3, TP53, NFKB1, ATF4, CREB3L2, MYC, RBL2, ATF2, CREB3, IKBKB, MYB, CREB1, MDM2"
ANGPTL4|COMPLEX:ITGAV_ITGB3,ANGPTL4,COMPLEX:ITGAV_ITGB3,ANGPTL,Secreted,"NFKB1, RUNX3, RXRA, AR, ESR1, STAT1, FOS, STAT3, RELA, GTF2I, STAT5A, HIF1A, STAT5B, PPARG"
ANGPTL4|COMPLEX:ITGA5_ITGB1,ANGPTL4,COMPLEX:ITGA5_ITGB1,ANGPTL,Secreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
